Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,523.849976,537.150024,521.500000,530.849976,530.849976,38270067
2023-05-16,533.950012,535.950012,518.849976,521.150024,521.150024,16514882
2023-05-17,522.500000,523.950012,512.500000,515.500000,515.500000,13684847
2023-05-18,518.799988,520.900024,507.100006,508.450012,508.450012,12293322
2023-05-19,509.799988,526.400024,504.750000,524.950012,524.950012,19343560
2023-05-22,524.950012,527.000000,519.349976,522.500000,522.500000,9978339
2023-05-23,522.500000,531.000000,521.150024,528.500000,528.500000,12256902
2023-05-24,527.150024,529.650024,519.150024,520.200012,520.200012,7648284
2023-05-25,518.000000,518.000000,509.100006,514.849976,514.849976,11543712
2023-05-26,514.900024,519.750000,512.200012,518.450012,518.450012,8360570
2023-05-29,525.000000,525.099976,519.700012,521.450012,521.450012,6596504
2023-05-30,521.450012,523.500000,518.000000,518.799988,518.799988,5134688
2023-05-31,519.950012,527.500000,516.400024,526.299988,526.299988,12327284
2023-06-01,527.500000,536.250000,522.849976,535.200012,535.200012,12511265
2023-06-02,537.000000,541.250000,532.750000,535.900024,535.900024,12294728
2023-06-05,539.000000,548.799988,537.900024,546.250000,546.250000,15008325
2023-06-06,549.450012,557.000000,545.349976,555.750000,555.750000,15395092
2023-06-07,558.799988,575.000000,552.150024,567.950012,567.950012,20855239
2023-06-08,570.000000,576.549988,557.000000,559.700012,559.700012,21527339
2023-06-09,564.400024,566.450012,559.299988,562.299988,562.299988,9361533
2023-06-12,567.000000,568.900024,560.650024,564.150024,564.150024,7599572
2023-06-13,567.700012,571.049988,560.750000,562.200012,562.200012,12845897
2023-06-14,566.000000,571.200012,564.000000,570.299988,570.299988,12713256
2023-06-15,571.799988,575.000000,567.750000,568.450012,568.450012,12475759
2023-06-16,569.650024,572.200012,566.049988,569.799988,569.799988,8736313
2023-06-19,570.650024,573.200012,564.200012,566.049988,566.049988,6280388
2023-06-20,566.049988,583.950012,562.500000,583.250000,583.250000,18074902
2023-06-21,584.950012,585.900024,574.500000,581.400024,581.400024,9146332
2023-06-22,584.000000,584.700012,568.200012,569.349976,569.349976,11229179
2023-06-23,570.000000,571.150024,557.700012,559.650024,559.650024,9362695
2023-06-26,560.000000,569.000000,557.799988,567.849976,567.849976,6986621
2023-06-27,570.000000,576.900024,568.450012,573.099976,573.099976,9404450
2023-06-29,573.099976,573.099976,573.099976,573.099976,573.099976,0
2023-06-30,588.349976,599.000000,588.000000,595.549988,595.549988,12488047
2023-07-03,600.000000,602.299988,590.000000,590.799988,590.799988,11131048
2023-07-04,594.400024,596.400024,589.500000,591.450012,591.450012,6917886
2023-07-05,592.000000,593.000000,584.950012,588.250000,588.250000,8715228
